SampleID,HmGene,Chr,Start,HPVType,HPVStart,HPVGene,Support,Split,HmStrand,HPVStrand,Source,annot,from,SampleID_HPV,SampleID_HmGene,sample_chr_start,total_read,HmGene_chr_start_annot,unique_ID
GS18070T,SOX2,chr3,181989968,HPV33,2154,E1,424,204,+,-,CTAT_VIF,enhancer_or_nearest_TSS,chipenrich,GS18070T_HPV33,GS18070T_SOX2,GS18070T_chr3_181989968,628,SOX2_chr3_181989968_enhancer_or_nearest_TSS_HPV33_2154,GS18070T_SOX2_chr3_181989968_HPV33_2154
TCGA-TN-A7HI-01A,SOX2,chr3,181989968,HPV33,2154,E1,48,8,+,-,CTAT_VIF,enhancer_or_nearest_TSS,chipenrich,TCGA-TN-A7HI-01A_HPV33,TCGA-TN-A7HI-01A_SOX2,TCGA-TN-A7HI-01A_chr3_181989968,56,SOX2_chr3_181989968_enhancer_or_nearest_TSS_HPV33_2154,TCGA-TN-A7HI-01A_SOX2_chr3_181989968_HPV33_2154
GS18070T,SOX2,chr3,181990931,HPV33,2701,E1,0,14,+,-,CTAT_VIF,enhancer_or_nearest_TSS,chipenrich,GS18070T_HPV33,GS18070T_SOX2,GS18070T_chr3_181990931,14,SOX2_chr3_181990931_enhancer_or_nearest_TSS_HPV33_2701,GS18070T_SOX2_chr3_181990931_HPV33_2701
GS18070T,SOX2,chr3,181990931,HPV33,3350,"E2,E4",8,108,+,-,CTAT_VIF,enhancer_or_nearest_TSS,chipenrich,GS18070T_HPV33,GS18070T_SOX2,GS18070T_chr3_181990931,116,SOX2_chr3_181990931_enhancer_or_nearest_TSS_HPV33_3350,GS18070T_SOX2_chr3_181990931_HPV33_3350
GS18070T,SOX2,chr3,181991039,HPV33,895,E1,255,894,+,-,CTAT_VIF,enhancer_or_nearest_TSS,chipenrich,GS18070T_HPV33,GS18070T_SOX2,GS18070T_chr3_181991039,1149,SOX2_chr3_181991039_enhancer_or_nearest_TSS_HPV33_895,GS18070T_SOX2_chr3_181991039_HPV33_895
TCGA-TN-A7HI-01A,SOX2,chr3,181991039,HPV33,895,E1,501,385,+,-,CTAT_VIF,enhancer_or_nearest_TSS,chipenrich,TCGA-TN-A7HI-01A_HPV33,TCGA-TN-A7HI-01A_SOX2,TCGA-TN-A7HI-01A_chr3_181991039,886,SOX2_chr3_181991039_enhancer_or_nearest_TSS_HPV33_895,TCGA-TN-A7HI-01A_SOX2_chr3_181991039_HPV33_895
GS18070T,SOX2,chr3,181992003,HPV33,3350,"E2,E4",23,12,+,+,CTAT_VIF,enhancer_or_nearest_TSS,chipenrich,GS18070T_HPV33,GS18070T_SOX2,GS18070T_chr3_181992003,35,SOX2_chr3_181992003_enhancer_or_nearest_TSS_HPV33_3350,GS18070T_SOX2_chr3_181992003_HPV33_3350
GS18070T,SOX2,chr3,181992244,HPV33,2289,E1,303,176,+,-,CTAT_VIF,enhancer_or_nearest_TSS,chipenrich,GS18070T_HPV33,GS18070T_SOX2,GS18070T_chr3_181992244,479,SOX2_chr3_181992244_enhancer_or_nearest_TSS_HPV33_2289,GS18070T_SOX2_chr3_181992244_HPV33_2289
GS18078T,LINC01994,chr3,182235442,HPV16,914,E1,44,15,+,+,CTAT_VIF,enhancer_or_nearest_TSS,chipenrich,GS18078T_HPV16,GS18078T_LINC01994,GS18078T_chr3_182235442,59,LINC01994_chr3_182235442_enhancer_or_nearest_TSS_HPV16_914,GS18078T_LINC01994_chr3_182235442_HPV16_914
GS18078T,LINC01994,chr3,182238037,HPV16,2166,E1,19,4,+,+,CTAT_VIF,enhancer_or_nearest_TSS,chipenrich,GS18078T_HPV16,GS18078T_LINC01994,GS18078T_chr3_182238037,23,LINC01994_chr3_182238037_enhancer_or_nearest_TSS_HPV16_2166,GS18078T_LINC01994_chr3_182238037_HPV16_2166
GS18006T,PSMD2,chr3,184301317,HPV16,835,E7,8,2,+,-,CTAT_VIF,enhancer_or_nearest_TSS,chipenrich,GS18006T_HPV16,GS18006T_PSMD2,GS18006T_chr3_184301317,10,PSMD2_chr3_184301317_enhancer_or_nearest_TSS_HPV16_835,GS18006T_PSMD2_chr3_184301317_HPV16_835
GS18028T,TPRG1,chr3,189235591,HPV16,3616,E2,1,2,+,+,CTAT_VIF,enhancer_or_nearest_TSS,chipenrich,GS18028T_HPV16,GS18028T_TPRG1,GS18028T_chr3_189235591,3,TPRG1_chr3_189235591_enhancer_or_nearest_TSS_HPV16_3616,GS18028T_TPRG1_chr3_189235591_HPV16_3616
GS18028T,TPRG1,chr3,189295316,HPV16,1792,E1,4,2,+,-,CTAT_VIF,enhancer_or_nearest_TSS,chipenrich,GS18028T_HPV16,GS18028T_TPRG1,GS18028T_chr3_189295316,6,TPRG1_chr3_189295316_enhancer_or_nearest_TSS_HPV16_1792,GS18028T_TPRG1_chr3_189295316_HPV16_1792
GS18014T,TP63,chr3,189403994,HPV16,3030,E2,0,7,+,+,CTAT_VIF,enhancer_or_nearest_TSS,chipenrich,GS18014T_HPV16,GS18014T_TP63,GS18014T_chr3_189403994,7,TP63_chr3_189403994_enhancer_or_nearest_TSS_HPV16_3030,GS18014T_TP63_chr3_189403994_HPV16_3030
130-MCDM-3,MIR944,chr3,189895061,HPV16,3719,E2,207,143,+,+,CTAT_VIF,enhancer_or_nearest_TSS,chipenrich,130-MCDM-3_HPV16,130-MCDM-3_MIR944,130-MCDM-3_chr3_189895061,350,MIR944_chr3_189895061_enhancer_or_nearest_TSS_HPV16_3719,130-MCDM-3_MIR944_chr3_189895061_HPV16_3719
GS18033T,MIR944,chr3,189962645,HPV16,2359,E1,273,186,+,-,CTAT_VIF,enhancer_or_nearest_TSS,chipenrich,GS18033T_HPV16,GS18033T_MIR944,GS18033T_chr3_189962645,459,MIR944_chr3_189962645_enhancer_or_nearest_TSS_HPV16_2359,GS18033T_MIR944_chr3_189962645_HPV16_2359
GS18004T,DPPA2P3,chr3,193867695,HPV16,380,"E6,E6flsplice",67,35,+,+,CTAT_VIF,enhancer_or_nearest_TSS,chipenrich,GS18004T_HPV16,GS18004T_DPPA2P3,GS18004T_chr3_193867695,102,DPPA2P3_chr3_193867695_enhancer_or_nearest_TSS_HPV16_380,GS18004T_DPPA2P3_chr3_193867695_HPV16_380
GS18103T,TCTEX1D2,chr3,196315835,HPV18,1642,E1,280,84,+,+,CTAT_VIF,enhancer_or_nearest_TSS,chipenrich,GS18103T_HPV18,GS18103T_TCTEX1D2,GS18103T_chr3_196315835,364,TCTEX1D2_chr3_196315835_enhancer_or_nearest_TSS_HPV18_1642,GS18103T_TCTEX1D2_chr3_196315835_HPV18_1642
GS18097T,FGFR3,chr4,1785436,HPV16,2704,E1,4,35,+,-,CTAT_VIF,enhancer_or_nearest_TSS,chipenrich,GS18097T_HPV16,GS18097T_FGFR3,GS18097T_chr4_1785436,39,FGFR3_chr4_1785436_enhancer_or_nearest_TSS_HPV16_2704,GS18097T_FGFR3_chr4_1785436_HPV16_2704
GS18007T,FGFR3,chr4,1789677,HPV16,233,"E6,E6flsplice",42,23,+,-,CTAT_VIF,enhancer_or_nearest_TSS,chipenrich,GS18007T_HPV16,GS18007T_FGFR3,GS18007T_chr4_1789677,65,FGFR3_chr4_1789677_enhancer_or_nearest_TSS_HPV16_233,GS18007T_FGFR3_chr4_1789677_HPV16_233
GS18007T,FGFR3,chr4,1791909,HPV16,1877,E1,124,17,+,-,CTAT_VIF,enhancer_or_nearest_TSS,chipenrich,GS18007T_HPV16,GS18007T_FGFR3,GS18007T_chr4_1791909,141,FGFR3_chr4_1791909_enhancer_or_nearest_TSS_HPV16_1877,GS18007T_FGFR3_chr4_1791909_HPV16_1877
GS18023T,TBC1D1,chr4,38340759,HPV16,1693,E1,147,112,+,-,CTAT_VIF,enhancer_or_nearest_TSS,chipenrich,GS18023T_HPV16,GS18023T_TBC1D1,GS18023T_chr4_38340759,259,TBC1D1_chr4_38340759_enhancer_or_nearest_TSS_HPV16_1693,GS18023T_TBC1D1_chr4_38340759_HPV16_1693
GS18061T,KLF3,chr4,38663622,HPV16,1685,E1,1,2,+,-,CTAT_VIF,enhancer_or_nearest_TSS,chipenrich,GS18061T_HPV16,GS18061T_KLF3,GS18061T_chr4_38663622,3,KLF3_chr4_38663622_enhancer_or_nearest_TSS_HPV16_1685,GS18061T_KLF3_chr4_38663622_HPV16_1685
GS18087T,TECRL,chr4,64314893,HPV16,3044,E2,4,10,+,+,CTAT_VIF,enhancer_or_nearest_TSS,chipenrich,GS18087T_HPV16,GS18087T_TECRL,GS18087T_chr4_64314893,14,TECRL_chr4_64314893_enhancer_or_nearest_TSS_HPV16_3044,GS18087T_TECRL_chr4_64314893_HPV16_3044
GS18039T,CAMK2D,chr4,113818441,HPV33,895,E1,1,30,+,+,CTAT_VIF,enhancer_or_nearest_TSS,chipenrich,GS18039T_HPV33,GS18039T_CAMK2D,GS18039T_chr4_113818441,31,CAMK2D_chr4_113818441_enhancer_or_nearest_TSS_HPV33_895,GS18039T_CAMK2D_chr4_113818441_HPV33_895
GS18039T,CAMK2D,chr4,113818560,HPV33,2701,E1,1,8,+,+,CTAT_VIF,enhancer_or_nearest_TSS,chipenrich,GS18039T_HPV33,GS18039T_CAMK2D,GS18039T_chr4_113818560,9,CAMK2D_chr4_113818560_enhancer_or_nearest_TSS_HPV33_2701,GS18039T_CAMK2D_chr4_113818560_HPV33_2701
GS18039T,CAMK2D,chr4,113818560,HPV33,3350,"E2,E4",0,76,+,+,CTAT_VIF,enhancer_or_nearest_TSS,chipenrich,GS18039T_HPV33,GS18039T_CAMK2D,GS18039T_chr4_113818560,76,CAMK2D_chr4_113818560_enhancer_or_nearest_TSS_HPV33_3350,GS18039T_CAMK2D_chr4_113818560_HPV33_3350
GS18039T,CAMK2D,chr4,113829664,HPV33,2412,E1,32,263,+,+,CTAT_VIF,enhancer_or_nearest_TSS,chipenrich,GS18039T_HPV33,GS18039T_CAMK2D,GS18039T_chr4_113829664,295,CAMK2D_chr4_113829664_enhancer_or_nearest_TSS_HPV33_2412,GS18039T_CAMK2D_chr4_113829664_HPV33_2412
GS18039T,CAMK2D,chr4,113830775,HPV33,895,E1,18,157,+,+,CTAT_VIF,enhancer_or_nearest_TSS,chipenrich,GS18039T_HPV33,GS18039T_CAMK2D,GS18039T_chr4_113830775,175,CAMK2D_chr4_113830775_enhancer_or_nearest_TSS_HPV33_895,GS18039T_CAMK2D_chr4_113830775_HPV33_895
GS18039T,CAMK2D,chr4,113834416,HPV33,895,E1,11,118,+,+,CTAT_VIF,enhancer_or_nearest_TSS,chipenrich,GS18039T_HPV33,GS18039T_CAMK2D,GS18039T_chr4_113834416,129,CAMK2D_chr4_113834416_enhancer_or_nearest_TSS_HPV33_895,GS18039T_CAMK2D_chr4_113834416_HPV33_895
